5,12,61
5,13,62
5,13,60
8,13,61
8,12,63
4,13,61
4,12,60
6,11,62
5,10,61
5,9,61
4,9,61
4,10,60
4,11,60
7,11,62
8,11,61
7,13,60
8,14,60
8,15,62
7,16,65
6,15,64
3,12,66
3,11,66
1,10,64
3,9,63
3,9,62
3,10,58
4,11,57
6,10,56
6,11,55
8,12,55
7,12,58
7,13,59
6,13,61
6,13,63
4,12,64
3,12,65
1,11,66
0,9,63
3,9,63
-5,7,70
-3,8,70
1,7,66
-4,10,66
-3,11,69
4,15,59
13,12,62
15,14,57
7,17,54
11,16,56
9,18,57
8,19,56
0,18,61
-2,19,63
-1,19,63
-1,21,61
1,22,58
7,24,56
15,23,60
20,20,61
11,13,55
-1,10,55
-9,0,51
-3,-1,62
3,-13,76
-17,-10,59
-5,-9,64
0,-17,72
-10,-8,64
-9,-8,65
-2,-4,63
-1,1,61
2,3,60
5,6,61
-1,5,61
3,2,66
1,2,68
-3,-3,67
0,-2,68
1,0,66
-2,3,62
-3,5,60
-2,9,60
0,11,59
-2,14,57
5,13,62
1,14,62
12,17,62
16,16,60
14,15,65
6,15,60
6,14,62
-4,16,64
-8,15,65
-12,12,60
-8,11,60
-9,10,62
5,7,62
11,7,64
6,8,64
5,9,63
6,12,58
1,12,61
0,13,60
-4,11,64
-5,11,64
-7,11,59
-3,9,59
-5,9,61
-4,9,64
-1,8,65
-1,8,64
-2,8,63
-3,7,64
-2,8,63
-3,7,61
-2,9,61
-1,10,62
-1,10,61
0,10,61
2,9,62
3,10,62
2,10,61
1,10,59
0,10,60
-1,9,60
-4,8,62
-4,8,63
-7,8,63
-4,7,63
-3,7,64
-3,7,64
-2,7,63
-1,7,63
-3,7,62
-2,7,62
-2,7,61
-1,7,61
-2,7,60
-2,7,61
-2,6,61
-6,5,61
-7,3,61
-8,2,60
-8,3,61
-7,3,64
-8,4,64
-6,6,62
-1,7,64
-1,7,63
-2,8,61
-1,8,61
1,6,63
-5,10,57
-4,10,58
0,8,60
0,12,59
3,10,61
5,11,56
6,12,57
